Date,Child,Total Animals Tested,Correctly Identified,Pronunciation Accuracy (%)
2023-12-10,Child 4,10,0,0.0
2023-12-10,Child 5,10,2,87.23
2023-12-10,Child 6,10,4,79.58
2023-12-10,Child 7,10,5,69.68
2023-12-10,Child 8,10,3,63.23
2023-12-10,Child 9,10,7,69.51
2023-12-10,Child 10,10,5,74.71
2023-12-11,Child 1,10,3,99.34
2023-12-11,Child 2,10,5,81.43
2023-12-11,Child 3,10,0,0.0
2023-12-11,Child 4,10,8,72.83
2023-12-11,Child 5,10,5,87.83
2023-12-11,Child 6,10,2,83.64
2023-12-11,Child 7,10,10,68.81
2023-12-11,Child 8,10,9,80.48
2023-12-11,Child 9,10,2,73.95
2023-12-11,Child 10,10,6,66.97
2023-12-12,Child 1,10,0,0.0
2023-12-12,Child 2,10,7,75.47
2023-12-12,Child 3,10,1,93.51
2023-12-12,Child 4,10,10,73.64
2023-12-12,Child 5,10,8,68.36
2023-12-12,Child 6,10,9,70.32
2023-12-12,Child 7,10,9,99.29
2023-12-12,Child 8,10,3,81.19
2023-12-12,Child 9,10,1,99.85
2023-12-12,Child 10,10,4,96.02
2023-12-13,Child 1,10,10,67.55
2023-12-13,Child 2,10,8,73.97
2023-12-13,Child 3,10,2,94.25
2023-12-13,Child 4,10,5,91.2
2023-12-13,Child 5,10,7,94.04
2023-12-13,Child 6,10,0,0.0
2023-12-13,Child 7,10,7,91.41
2023-12-13,Child 8,10,7,84.26
2023-12-13,Child 9,10,2,74.89
2023-12-13,Child 10,10,8,86.54
2023-12-14,Child 1,10,1,66.43
2023-12-14,Child 2,10,1,79.42
2023-12-14,Child 3,10,2,86.08
2023-12-14,Child 4,10,8,67.04
2023-12-14,Child 5,10,3,69.49
2023-12-14,Child 6,10,4,67.15
2023-12-14,Child 7,10,7,85.99
2023-12-14,Child 8,10,6,88.84
2023-12-14,Child 9,10,0,0.0
2023-12-14,Child 10,10,10,74.71
2023-12-15,Child 1,10,6,70.02
2023-12-15,Child 2,10,5,99.16
2023-12-15,Child 3,10,2,95.68
2023-12-15,Child 4,10,10,77.38
2023-12-15,Child 5,10,4,80.11
2023-12-15,Child 6,10,0,0.0
2023-12-15,Child 7,10,4,69.21
2023-12-15,Child 8,10,2,82.88
2023-12-15,Child 9,10,0,0.0
2023-12-15,Child 10,10,0,0.0
2023-12-16,Child 1,10,4,95.34
2023-12-16,Child 2,10,8,98.12
2023-12-16,Child 3,10,0,0.0
2023-12-16,Child 4,10,4,82.89
2023-12-16,Child 5,10,0,0.0
2023-12-16,Child 6,10,3,71.78
2023-12-16,Child 7,10,4,67.64
2023-12-16,Child 8,10,0,0.0
2023-12-16,Child 9,10,2,66.78
2023-12-16,Child 10,10,8,75.79
2023-12-17,Child 1,10,5,87.84
2023-12-17,Child 2,10,7,62.82
2023-12-17,Child 3,10,1,84.6
2023-12-17,Child 4,10,5,74.35
2023-12-17,Child 5,10,10,71.81
2023-12-17,Child 6,10,9,89.63
2023-12-17,Child 7,10,0,0.0
2023-12-17,Child 8,10,8,88.1
2023-12-17,Child 9,10,6,71.74
2023-12-17,Child 10,10,6,76.79
2023-12-18,Child 1,10,1,94.68
2023-12-18,Child 2,10,9,60.21
2023-12-18,Child 3,10,3,91.93
2023-12-18,Child 4,10,0,0.0
2023-12-18,Child 5,10,7,88.08
2023-12-18,Child 6,10,2,73.52
2023-12-18,Child 7,10,1,63.76
2023-12-18,Child 8,10,6,86.88
2023-12-18,Child 9,10,2,78.62
2023-12-18,Child 10,10,5,83.63
2023-12-19,Child 1,10,5,70.01
2023-12-19,Child 2,10,9,92.9
2023-12-19,Child 3,10,5,81.48
2023-12-19,Child 4,10,4,80.89
2023-12-19,Child 5,10,4,70.86
2023-12-19,Child 6,10,4,78.29
2023-12-19,Child 7,10,5,62.07
2023-12-19,Child 8,10,3,76.45
2023-12-19,Child 9,10,2,85.5
2023-12-19,Child 10,10,3,65.31
2023-12-20,Child 1,10,1,80.65
2023-12-20,Child 2,10,2,91.81
2023-12-20,Child 3,10,2,77.56
2023-12-20,Child 4,10,6,70.03
2023-12-20,Child 5,10,9,98.51
2023-12-20,Child 6,10,6,77.13
2023-12-20,Child 7,10,4,62.33
2023-12-20,Child 8,10,9,66.26
2023-12-20,Child 9,10,1,69.59
2023-12-20,Child 10,10,5,88.58
2023-12-21,Child 1,10,7,97.38
2023-12-21,Child 2,10,0,0.0
2023-12-21,Child 3,10,6,86.28
2023-12-21,Child 4,10,4,84.47
2023-12-21,Child 5,10,6,61.91
2023-12-21,Child 6,10,9,74.24
2023-12-21,Child 7,10,4,64.81
2023-12-21,Child 8,10,4,63.77
2023-12-21,Child 9,10,3,67.01
2023-12-21,Child 10,10,9,90.53
2023-12-22,Child 1,10,4,78.94
2023-12-22,Child 2,10,0,0.0
2023-12-22,Child 3,10,4,75.94
2023-12-22,Child 4,10,9,97.97
2023-12-22,Child 5,10,3,61.81
2023-12-22,Child 6,10,9,85.03
2023-12-22,Child 7,10,9,80.04
2023-12-22,Child 8,10,7,86.35
2023-12-22,Child 9,10,3,84.63
2023-12-22,Child 10,10,6,97.77
2023-12-23,Child 1,10,10,92.04
2023-12-23,Child 2,10,1,82.93
2023-12-23,Child 3,10,0,0.0
2023-12-23,Child 4,10,0,0.0
2023-12-23,Child 5,10,2,92.83
2023-12-23,Child 6,10,2,92.82
2023-12-23,Child 7,10,7,96.21
2023-12-23,Child 8,10,1,61.56
2023-12-23,Child 9,10,1,87.32
2023-12-23,Child 10,10,0,0.0
2023-12-24,Child 1,10,9,72.76
2023-12-24,Child 2,10,9,87.26
2023-12-24,Child 3,10,1,70.43
2023-12-24,Child 4,10,6,64.73
2023-12-24,Child 5,10,4,73.93
2023-12-24,Child 6,10,10,95.1
2023-12-24,Child 7,10,3,76.72
2023-12-24,Child 8,10,8,81.92
2023-12-24,Child 9,10,4,90.02
2023-12-24,Child 10,10,2,99.62
2023-12-25,Child 1,10,3,74.88
2023-12-25,Child 2,10,6,83.22
2023-12-25,Child 3,10,6,97.23
2023-12-25,Child 4,10,4,69.54
2023-12-25,Child 5,10,6,90.03
2023-12-25,Child 6,10,8,69.53
2023-12-25,Child 7,10,0,0.0
2023-12-25,Child 8,10,0,0.0
2023-12-25,Child 9,10,3,93.06
2023-12-25,Child 10,10,5,71.91
2023-12-26,Child 1,10,2,75.57
2023-12-26,Child 2,10,8,93.89
2023-12-26,Child 3,10,8,72.77
2023-12-26,Child 4,10,3,82.94
2023-12-26,Child 5,10,4,63.67
2023-12-26,Child 6,10,8,82.15
2023-12-26,Child 7,10,4,90.09
2023-12-26,Child 8,10,6,91.25
2023-12-26,Child 9,10,6,63.65
2023-12-26,Child 10,10,9,98.97
2023-12-27,Child 1,10,9,77.66
2023-12-27,Child 2,10,6,81.84
2023-12-27,Child 3,10,10,64.68
2023-12-27,Child 4,10,8,90.46
2023-12-27,Child 5,10,0,0.0
2023-12-27,Child 6,10,5,63.36
2023-12-27,Child 7,10,7,62.91
2023-12-27,Child 8,10,1,95.68
2023-12-27,Child 9,10,1,63.25
2023-12-27,Child 10,10,4,69.33
2023-12-28,Child 1,10,7,74.97
2023-12-28,Child 2,10,0,0.0
2023-12-28,Child 3,10,5,92.51
2023-12-28,Child 4,10,6,99.44
2023-12-28,Child 5,10,3,74.01
2023-12-28,Child 6,10,2,91.09
2023-12-28,Child 7,10,5,88.2
2023-12-28,Child 8,10,9,96.25
2023-12-28,Child 9,10,6,77.38
2023-12-28,Child 10,10,1,78.75
2023-12-29,Child 1,10,9,89.64
2023-12-29,Child 2,10,7,64.7
2023-12-29,Child 3,10,8,89.77
2023-12-29,Child 4,10,2,83.33
2023-12-29,Child 5,10,8,74.99
2023-12-29,Child 6,10,0,0.0
2023-12-29,Child 7,10,8,94.74
2023-12-29,Child 8,10,5,77.45
2023-12-29,Child 9,10,9,60.49
2023-12-29,Child 10,10,4,61.74
2023-12-30,Child 1,10,4,99.72
2023-12-30,Child 2,10,4,70.12
2023-12-30,Child 3,10,2,98.77
2023-12-30,Child 4,10,1,66.65
2023-12-30,Child 5,10,0,0.0
2023-12-30,Child 6,10,0,0.0
2023-12-30,Child 7,10,4,87.88
2023-12-30,Child 8,10,2,96.05
2023-12-30,Child 9,10,8,96.61
2023-12-30,Child 10,10,9,98.02
2023-12-31,Child 1,10,7,75.78
2023-12-31,Child 2,10,7,84.81
2023-12-31,Child 3,10,7,66.79
2023-12-31,Child 4,10,3,78.55
2023-12-31,Child 5,10,9,69.18
2023-12-31,Child 6,10,4,98.98
2023-12-31,Child 7,10,10,87.93
2023-12-31,Child 8,10,0,0.0
2023-12-31,Child 9,10,8,72.38
2023-12-31,Child 10,10,3,84.11
2024-01-01,Child 1,10,2,92.9
2024-01-01,Child 2,10,1,76.67
2024-01-01,Child 3,10,4,84.54
2024-01-01,Child 4,10,1,63.31
2024-01-01,Child 5,10,1,82.06
2024-01-01,Child 6,10,4,61.05
2024-01-01,Child 7,10,0,0.0
2024-01-01,Child 8,10,5,92.42
2024-01-01,Child 9,10,0,0.0
2024-01-01,Child 10,10,10,83.77
2024-01-02,Child 1,10,8,98.8
2024-01-02,Child 2,10,10,82.76
2024-01-02,Child 3,10,0,0.0
2024-01-02,Child 4,10,1,61.47
2024-01-02,Child 5,10,0,0.0
2024-01-02,Child 6,10,4,62.26
2024-01-02,Child 7,10,5,87.67
2024-01-02,Child 8,10,4,99.99
2024-01-02,Child 9,10,5,96.53
2024-01-02,Child 10,10,6,90.76
2024-01-03,Child 1,10,4,90.28
2024-01-03,Child 2,10,2,69.89
2024-01-03,Child 3,10,8,65.17
2024-01-03,Child 4,10,2,70.99
2024-01-03,Child 5,10,3,69.15
2024-01-03,Child 6,10,0,0.0
2024-01-03,Child 7,10,7,84.73
2024-01-03,Child 8,10,7,60.89
2024-01-03,Child 9,10,9,80.81
2024-01-03,Child 10,10,5,93.25
2024-01-04,Child 1,10,1,94.09
2024-01-04,Child 2,10,5,98.72
2024-01-04,Child 3,10,10,76.14
2024-01-04,Child 4,10,6,90.21
2024-01-04,Child 5,10,4,85.57
2024-01-04,Child 6,10,10,68.52
2024-01-04,Child 7,10,5,84.69
2024-01-04,Child 8,10,1,74.02
2024-01-04,Child 9,10,1,85.47
2024-01-04,Child 10,10,10,63.64
2024-01-05,Child 1,10,1,73.93
2024-01-05,Child 2,10,5,78.04
2024-01-05,Child 3,10,6,80.94
2024-01-05,Child 4,10,0,0.0
2024-01-05,Child 5,10,4,91.86
2024-01-05,Child 6,10,9,97.06
2024-01-05,Child 7,10,9,90.76
2024-01-05,Child 8,10,3,78.37
2024-01-05,Child 9,10,1,84.83
2024-01-05,Child 10,10,1,73.15
2024-01-06,Child 1,10,10,83.19
2024-01-06,Child 2,10,10,63.03
2024-01-06,Child 3,10,8,78.4
2024-01-06,Child 4,10,10,65.55
2024-01-06,Child 5,10,7,67.2
2024-01-06,Child 6,10,3,73.83
2024-01-06,Child 7,10,2,94.97
2024-01-06,Child 8,10,10,86.7
2024-01-06,Child 9,10,1,84.08
2024-01-06,Child 10,10,2,61.63
2024-01-07,Child 1,10,4,73.8
2024-01-07,Child 2,10,9,67.08
2024-01-07,Child 3,10,4,81.95
2024-01-07,Child 4,10,4,78.43
2024-01-07,Child 5,10,9,95.77
2024-01-07,Child 6,10,0,0.0
2024-01-07,Child 7,10,9,87.62
2024-01-07,Child 8,10,8,63.69
2024-01-07,Child 9,10,8,87.51
2024-01-07,Child 10,10,7,94.94
2024-01-08,Child 1,10,0,0.0
2024-01-08,Child 2,10,9,94.73
2024-01-08,Child 3,10,7,89.93
2024-01-08,Child 4,10,3,68.37
2024-01-08,Child 5,10,7,79.38
2024-01-08,Child 6,10,9,90.4
2024-01-08,Child 7,10,7,88.82
2024-01-08,Child 8,10,9,61.47
2024-01-08,Child 9,10,7,65.32
2024-01-08,Child 10,10,2,95.81
2024-01-09,Child 1,10,10,81.28
2024-01-09,Child 2,10,1,77.9
2024-01-09,Child 3,10,2,75.89
2024-01-09,Child 4,10,8,89.5
2024-01-09,Child 5,10,9,82.56
2024-01-09,Child 6,10,0,0.0
2024-01-09,Child 7,10,6,63.57
2024-01-09,Child 8,10,8,95.62
2024-01-09,Child 9,10,3,78.96
2024-01-09,Child 10,10,9,91.57
2024-01-10,Child 1,10,1,63.48
2024-01-10,Child 2,10,5,83.47
2024-01-10,Child 3,10,7,83.46
2024-01-10,Child 4,10,2,75.15
2024-01-10,Child 5,10,4,74.52
2024-01-10,Child 6,10,9,84.3
2024-01-10,Child 7,10,10,74.24
2024-01-10,Child 8,10,5,84.23
2024-01-10,Child 9,10,0,0.0
2024-01-10,Child 10,10,4,64.07
2024-01-11,Child 1,10,5,74.61
2024-01-11,Child 2,10,3,94.03
2024-01-11,Child 3,10,7,95.87
2024-01-11,Child 4,10,6,62.07
2024-01-11,Child 5,10,7,87.88
2024-01-11,Child 6,10,7,64.48
2024-01-11,Child 7,10,1,83.04
2024-01-11,Child 8,10,10,94.62
2024-01-11,Child 9,10,5,99.0
2024-01-11,Child 10,10,7,88.92
2024-01-12,Child 1,10,8,88.74
2024-01-12,Child 2,10,10,82.86
2024-01-12,Child 3,10,2,93.54
2024-01-12,Child 4,10,4,67.48
2024-01-12,Child 5,10,5,88.44
2024-01-12,Child 6,10,3,80.3
2024-01-12,Child 7,10,0,0.0
2024-01-12,Child 8,10,0,0.0
2024-01-12,Child 9,10,9,90.71
2024-01-12,Child 10,10,5,83.25
2024-01-13,Child 1,10,10,97.28
2024-01-13,Child 2,10,10,83.76
2024-01-13,Child 3,10,5,73.46
2024-01-13,Child 4,10,9,81.94
2024-01-13,Child 5,10,9,99.6
2024-01-13,Child 6,10,7,92.39
2024-01-13,Child 7,10,0,0.0
2024-01-13,Child 8,10,4,60.11
2024-01-13,Child 9,10,8,83.83
2024-01-13,Child 10,10,7,84.24
2024-01-14,Child 1,10,2,73.95
2024-01-14,Child 2,10,0,0.0
2024-01-14,Child 3,10,4,93.22
2024-01-14,Child 4,10,1,64.97
2024-01-14,Child 5,10,7,99.64
2024-01-14,Child 6,10,1,67.25
2024-01-14,Child 7,10,2,97.06
2024-01-14,Child 8,10,5,61.92
2024-01-14,Child 9,10,7,93.12
2024-01-14,Child 10,10,4,68.07
2024-01-15,Child 1,10,2,66.57
2024-01-15,Child 2,10,4,69.43
2024-01-15,Child 3,10,9,96.31
2024-01-15,Child 4,10,8,95.09
2024-01-15,Child 5,10,8,87.32
2024-01-15,Child 6,10,7,77.57
2024-01-15,Child 7,10,2,84.96
2024-01-15,Child 8,10,0,0.0
2024-01-15,Child 9,10,6,77.55
2024-01-15,Child 10,10,0,0.0
2024-01-16,Child 1,10,8,74.21
2024-01-16,Child 2,10,6,81.27
2024-01-16,Child 3,10,4,96.26
2024-01-16,Child 4,10,2,81.71
2024-01-16,Child 5,10,5,97.59
2024-01-16,Child 6,10,6,89.22
2024-01-16,Child 7,10,9,65.57
2024-01-16,Child 8,10,0,0.0
2024-01-16,Child 9,10,3,89.66
2024-01-16,Child 10,10,10,91.54
2024-01-17,Child 1,10,5,90.1
2024-01-17,Child 2,10,4,91.14
2024-01-17,Child 3,10,0,0.0
2024-01-17,Child 4,10,3,82.8
2024-01-17,Child 5,10,9,79.76
2024-01-17,Child 6,10,9,73.68
2024-01-17,Child 7,10,5,81.46
2024-01-17,Child 8,10,3,78.28
2024-01-17,Child 9,10,3,75.89
2024-01-17,Child 10,10,7,66.0
2024-01-18,Child 1,10,3,88.89
2024-01-18,Child 2,10,1,60.49
2024-01-18,Child 3,10,2,87.76
2024-01-18,Child 4,10,3,88.65
2024-01-18,Child 5,10,10,73.83
2024-01-18,Child 6,10,10,98.36
2024-01-18,Child 7,10,7,83.34
2024-01-18,Child 8,10,7,76.94
2024-01-18,Child 9,10,9,97.89
2024-01-18,Child 10,10,9,83.45
2024-01-19,Child 1,10,1,84.46
2024-01-19,Child 2,10,7,94.88
2024-01-19,Child 3,10,3,96.75
2024-01-19,Child 4,10,4,96.9
2024-01-19,Child 5,10,7,86.05
2024-01-19,Child 6,10,0,0.0
2024-01-19,Child 7,10,9,62.76
2024-01-19,Child 8,10,2,89.46
2024-01-19,Child 9,10,7,93.62
2024-01-19,Child 10,10,10,78.03
2024-01-20,Child 1,10,4,99.39
2024-01-20,Child 2,10,3,64.99
2024-01-20,Child 3,10,8,73.29
2024-01-20,Child 4,10,5,80.75
2024-01-20,Child 5,10,7,84.32
2024-01-20,Child 6,10,8,89.77
2024-01-20,Child 7,10,9,92.11
2024-01-20,Child 8,10,4,84.15
2024-01-20,Child 9,10,2,75.93
2024-01-20,Child 10,10,8,94.54
2024-01-21,Child 1,10,5,73.85
2024-01-21,Child 2,10,1,79.23
2024-01-21,Child 3,10,10,78.09
2024-01-21,Child 4,10,10,61.31
2024-01-21,Child 5,10,10,65.63
2024-01-21,Child 6,10,7,83.11
2024-01-21,Child 7,10,3,76.76
2024-01-21,Child 8,10,7,72.46
2024-01-21,Child 9,10,10,85.29
2024-01-21,Child 10,10,1,86.54
2024-01-22,Child 1,10,6,99.02
2024-01-22,Child 2,10,8,65.95
2024-01-22,Child 3,10,5,94.43
2024-01-22,Child 4,10,7,80.09
2024-01-22,Child 5,10,0,0.0
2024-01-22,Child 6,10,6,77.07
2024-01-22,Child 7,10,7,95.92
2024-01-22,Child 8,10,0,0.0
2024-01-22,Child 9,10,7,83.5
2024-01-22,Child 10,10,0,0.0
2024-01-23,Child 1,10,2,78.13
2024-01-23,Child 2,10,1,81.38
2024-01-23,Child 3,10,0,0.0
2024-01-23,Child 4,10,1,79.88
2024-01-23,Child 5,10,2,66.21
2024-01-23,Child 6,10,0,0.0
2024-01-23,Child 7,10,7,94.47
2024-01-23,Child 8,10,6,90.13
2024-01-23,Child 9,10,9,70.83
2024-01-23,Child 10,10,1,76.35
2024-01-24,Child 1,10,6,99.16
2024-01-24,Child 2,10,1,94.68
2024-01-24,Child 3,10,7,61.08
2024-01-24,Child 4,10,6,70.16
2024-01-24,Child 5,10,6,86.88
2024-01-24,Child 6,10,7,64.16
2024-01-24,Child 7,10,4,67.14
2024-01-24,Child 8,10,0,0.0
2024-01-24,Child 9,10,7,63.98
2024-01-24,Child 10,10,7,88.89
2024-01-25,Child 1,10,7,92.27
2024-01-25,Child 2,10,3,97.78
2024-01-25,Child 3,10,5,68.2
2024-01-25,Child 4,10,6,95.85
2024-01-25,Child 5,10,6,85.33
2024-01-25,Child 6,10,0,0.0
2024-01-25,Child 7,10,6,93.93
2024-01-25,Child 8,10,2,83.32
2024-01-25,Child 9,10,1,95.71
2024-01-25,Child 10,10,4,73.67
2024-01-26,Child 1,10,9,93.0
2024-01-26,Child 2,10,2,83.61
2024-01-26,Child 3,10,3,84.97
2024-01-26,Child 4,10,5,90.95
2024-01-26,Child 5,10,8,77.45
2024-01-26,Child 6,10,2,97.94
2024-01-26,Child 7,10,5,91.19
2024-01-26,Child 8,10,0,0.0
2024-01-26,Child 9,10,9,82.63
2024-01-26,Child 10,10,10,95.78
2024-01-27,Child 1,10,0,0.0
2024-01-27,Child 2,10,1,60.9
2024-01-27,Child 3,10,8,81.67
2024-01-27,Child 4,10,8,70.32
2024-01-27,Child 5,10,5,85.8
2024-01-27,Child 6,10,3,65.29
2024-01-27,Child 7,10,1,70.89
2024-01-27,Child 8,10,10,92.9
2024-01-27,Child 9,10,4,92.6
2024-01-27,Child 10,10,8,70.96
2024-01-28,Child 1,10,0,0.0
2024-01-28,Child 2,10,4,86.06
2024-01-28,Child 3,10,9,88.81
2024-01-28,Child 4,10,4,60.44
2024-01-28,Child 5,10,4,70.55
2024-01-28,Child 6,10,5,89.29
2024-01-28,Child 7,10,1,84.02
2024-01-28,Child 8,10,8,79.77
2024-01-28,Child 9,10,9,96.58
2024-01-28,Child 10,10,9,76.18
2024-01-29,Child 1,10,9,76.88
2024-01-29,Child 2,10,1,66.65
2024-01-29,Child 3,10,10,67.37
2024-01-29,Child 4,10,4,84.13
2024-01-29,Child 5,10,9,62.73
2024-01-29,Child 6,10,10,71.55
2024-01-29,Child 7,10,3,88.76
2024-01-29,Child 8,10,6,84.42
2024-01-29,Child 9,10,5,79.04
2024-01-29,Child 10,10,7,97.47
2024-01-30,Child 1,10,4,79.35
2024-01-30,Child 2,10,9,61.25
2024-01-30,Child 3,10,3,66.48
2024-01-30,Child 4,10,3,62.06
2024-01-30,Child 5,10,10,83.87
2024-01-30,Child 6,10,1,84.93
2024-01-30,Child 7,10,1,64.26
2024-01-30,Child 8,10,8,74.06
2024-01-30,Child 9,10,0,0.0
2024-01-30,Child 10,10,8,88.2
2024-01-31,Child 1,10,7,77.39
2024-01-31,Child 2,10,6,63.04
2024-01-31,Child 3,10,1,91.98
2024-01-31,Child 4,10,2,70.89
2024-01-31,Child 5,10,1,64.12
2024-01-31,Child 6,10,4,63.66
2024-01-31,Child 7,10,10,98.48
2024-01-31,Child 8,10,0,0.0
2024-01-31,Child 9,10,9,87.62
2024-01-31,Child 10,10,0,0.0
2024-02-01,Child 1,10,7,90.34
2024-02-01,Child 2,10,4,90.36
2024-02-01,Child 3,10,4,87.69
2024-02-01,Child 4,10,5,99.22
2024-02-01,Child 5,10,1,79.58
2024-02-01,Child 6,10,10,99.51
2024-02-01,Child 7,10,9,61.58
2024-02-01,Child 8,10,9,83.53
2024-02-01,Child 9,10,0,0.0
2024-02-01,Child 10,10,6,82.23
2024-02-02,Child 1,10,5,96.62
2024-02-02,Child 2,10,4,89.24
2024-02-02,Child 3,10,2,96.98
2024-02-02,Child 4,10,1,76.87
2024-02-02,Child 5,10,1,89.8
2024-02-02,Child 6,10,3,93.78
2024-02-02,Child 7,10,1,80.9
2024-02-02,Child 8,10,6,61.48
2024-02-02,Child 9,10,7,69.2
2024-02-02,Child 10,10,1,95.4
2024-02-03,Child 1,10,10,73.59
2024-02-03,Child 2,10,6,76.18
2024-02-03,Child 3,10,6,72.61
2024-02-03,Child 4,10,0,0.0
2024-02-03,Child 5,10,3,91.63
2024-02-03,Child 6,10,8,89.51
2024-02-03,Child 7,10,0,0.0
2024-02-03,Child 8,10,9,95.07
2024-02-03,Child 9,10,1,60.98
2024-02-03,Child 10,10,9,99.61
2024-02-04,Child 1,10,10,94.99
2024-02-04,Child 2,10,1,97.56
2024-02-04,Child 3,10,2,62.8
2024-02-04,Child 4,10,3,62.11
2024-02-04,Child 5,10,0,0.0
2024-02-04,Child 6,10,4,79.19
2024-02-04,Child 7,10,7,70.87
2024-02-04,Child 8,10,8,90.73
2024-02-04,Child 9,10,8,73.45
2024-02-04,Child 10,10,3,89.5
2024-02-05,Child 1,10,0,0.0
2024-02-05,Child 2,10,2,78.69
2024-02-05,Child 3,10,7,71.49
2024-02-05,Child 4,10,3,88.62
2024-02-05,Child 5,10,4,61.68
2024-02-05,Child 6,10,0,0.0
2024-02-05,Child 7,10,4,99.51
2024-02-05,Child 8,10,8,64.38
2024-02-05,Child 9,10,8,87.19
2024-02-05,Child 10,10,10,98.0
2024-02-06,Child 1,10,4,63.58
2024-02-06,Child 2,10,5,99.29
2024-02-06,Child 3,10,7,78.7
2024-02-06,Child 4,10,1,66.68
2024-02-06,Child 5,10,3,62.6
2024-02-06,Child 6,10,7,97.71
2024-02-06,Child 7,10,5,84.31
2024-02-06,Child 8,10,9,61.88
2024-02-06,Child 9,10,8,68.82
2024-02-06,Child 10,10,0,0.0
2024-02-07,Child 1,10,9,91.18
2024-02-07,Child 2,10,5,92.03
2024-02-07,Child 3,10,5,98.76
2024-02-07,Child 4,10,0,0.0
2024-02-07,Child 5,10,8,97.11
2024-02-07,Child 6,10,9,81.0
2024-02-07,Child 7,10,10,75.85
2024-02-07,Child 8,10,1,79.65
2024-02-07,Child 9,10,0,0.0
2024-02-07,Child 10,10,7,95.9
2024-02-08,Child 1,10,2,68.98
2024-02-08,Child 2,10,7,89.91
2024-02-08,Child 3,10,8,83.72
2024-02-08,Child 4,10,4,63.66
2024-02-08,Child 5,10,8,75.65
2024-02-08,Child 6,10,10,65.18
